Customer ID,Region,State,City,Postal Code,AddressID
CG-12520,South,Kentucky,Henderson,42420,A000001
DV-13045,West,California,Los Angeles,90036,A000002
SO-20335,South,Florida,Fort Lauderdale,33311,A000003
BH-11710,West,California,Los Angeles,90032,A000004
AA-10480,South,North Carolina,Concord,28027,A000005
IM-15070,West,Washington,Seattle,98103,A000006
HP-14815,Central,Texas,Fort Worth,76106,A000007
PK-19075,Central,Wisconsin,Madison,53711,A000008
AG-10270,West,Utah,West Jordan,84084,A000009
ZD-21925,West,California,San Francisco,94109,A000010
KB-16585,Central,Nebraska,Fremont,68025,A000011
SF-20065,East,Pennsylvania,Philadelphia,19140,A000012
EB-13870,West,Utah,Orem,84057,A000013
EH-13945,West,California,Los Angeles,90049,A000014
TB-21520,East,Pennsylvania,Philadelphia,19140,A000015
MA-17560,Central,Texas,Houston,77095,A000016
GH-14485,Central,Texas,Richardson,75080,A000017
SN-20710,Central,Texas,Houston,77041,A000018
LC-16930,Central,Illinois,Naperville,60540,A000019
RA-19885,West,California,Los Angeles,90049,A000020
ES-14080,South,Florida,Melbourne,32935,A000021
ON-18715,Central,Minnesota,Eagan,55122,A000022
PO-18865,Central,Michigan,Westland,48185,A000023
LH-16900,East,Delaware,Dover,19901,A000024
DP-13000,Central,Indiana,New Albany,47150,A000025
JM-15265,East,New York,New York City,10024,A000026
TB-21055,East,New York,Troy,12180,A000027
KM-16720,West,California,Los Angeles,90004,A000028
PS-18970,Central,Illinois,Chicago,60610,A000029
BS-11590,West,Arizona,Gilbert,85234,A000030
KD-16270,South,Virginia,Springfield,22153,A000031
HM-14980,East,New York,New York City,10009,A000032
TB-21520,Central,Michigan,Jackson,49201,A000033
JE-15745,South,Tennessee,Memphis,38109,A000034
KB-16600,Central,Texas,Houston,77041,A000035
JE-15745,Central,Texas,Houston,77070,A000036
SC-20770,South,Alabama,Decatur,35601,A000037
DN-13690,West,California,San Francisco,94122,A000038
JC-16105,South,North Carolina,Durham,27707,A000039
CS-12400,Central,Illinois,Chicago,60623,A000040
PO-18865,South,South Carolina,Columbia,29203,A000041
PG-18895,Central,Minnesota,Rochester,55901,A000042
GM-14455,Central,Texas,Houston,77095,A000043
JS-15685,West,California,Los Angeles,90036,A000044
KB-16315,Central,Minnesota,Minneapolis,55407,A000045
RB-19705,West,Oregon,Portland,97206,A000046
PN-18775,East,New York,New York City,10009,A000047
KD-16345,West,California,San Francisco,94122,A000048
ER-13855,Central,Minnesota,Saint Paul,55106,A000049
RB-19465,Central,Illinois,Chicago,60610,A000050
GZ-14470,Central,Minnesota,Rochester,55901,A000051
LC-16870,West,Colorado,Aurora,80013,A000052
JM-15250,South,North Carolina,Charlotte,28205,A000053
PA-19060,Central,Illinois,Orland Park,60462,A000054
CV-12805,East,New York,New York City,10035,A000055
CL-12565,Central,Iowa,Urbandale,50322,A000056
RC-19960,East,Ohio,Columbus,43229,A000057
DK-13090,West,Washington,Seattle,98103,A000058
GG-14650,South,Tennessee,Bristol,37620,A000059
SC-20725,East,Delaware,Wilmington,19805,A000060
AD-10180,Central,Texas,Houston,77041,A000061
PF-19165,Central,Illinois,Bloomington,61701,A000062
TS-21610,West,Arizona,Phoenix,85023,A000063
LS-16975,West,California,Los Angeles,90004,A000064
DW-13585,East,Ohio,Columbus,43229,A000065
LC-16885,West,California,Roseville,95661,A000066
JD-15895,East,Pennsylvania,Philadelphia,19140,A000067
SH-19975,West,California,San Francisco,94122,A000068
SG-20080,Central,Missouri,Independence,64055,A000069
HA-14920,West,California,Pasadena,91104,A000070
MG-17680,East,Ohio,Newark,43055,A000071
JE-16165,Central,Wisconsin,Franklin,53132,A000072
TW-21025,West,Arizona,Scottsdale,85254,A000073
